ID,HL
3318,14.56656685
3338,38.25788814
3342,8.015303358
3349,115.4967191
3352,51.13620155
3358,5.258408885
3376,37.29017225
3386,42.21237152
3392,67.27493234
3401,59.45104442
3404,21.11128156
3408,60.3834665
3419,34.89893404
3429,9.564069118
3443,122.1370629
3457,3.972818425
3464,17.70817835
3465,5.12911989
3479,29.5695466
3522,43.76815136
3529,9.607554246
3550,44.73918085
3565,17.65650339
3585,72.58594374
3587,38.02961679
3589,28.71397026
3594,4.408080413
3598,62.41712621
3610,209.8863739
3611,9.063157385
3642,54.22883809
3651,82.04372135
3658,39.98611745
3662,25.39518668
3667,36.6104983
3677,223.3198239
3678,87.48444051
3721,38.34283874
3725,5.117558674
3748,14.14641593
3791,10.86099497
3807,8.898717766
3816,122.8455845
3817,11.97623152
3827,183.1997379
3847,4.281243684
3855,18.96620347
3867,35.49343433
3874,7.098605256
3884,223.6794766
3913,51.70704291
3918,7.151425509
3924,39.60710192
3940,2.688833561
3953,7.673901653
3955,82.09216496
3975,3.537992858
3985,10.2407483
4012,31.9530676
4059,38.96885989
4070,8.095860808
4071,135.0882339
4080,88.87062669
4115,26.93800366
4116,5.672266267
4129,41.15933162
4137,5.722702637
4148,26.9308229
4151,133.2707392
4152,73.13795104
4175,36.29734309
4186,97.42089401
4215,19.40229397
4227,59.98919494
4293,35.5245869
4297,143.3924989
4313,41.03729659
4338,45.18363094
4343,189.346515
4353,89.13146687
4395,9.244388163
4403,65.89024036
4408,59.93099286
4417,80.19504481
4422,3.063767506
4429,213.4057005
4433,15.70940225
4444,6.148393824
4456,65.41018011
4459,83.494247
4485,29.4608693
4492,95.5014916
4501,20.1039679
4518,49.21233496
4534,19.63590553
4538,126.7938362
4547,27.63065031
4585,159.78457
4598,19.00890328
4628,59.30123975
4643,38.72563925
4648,12.83453505
4666,20.57667008
4685,52.39631689
4743,3.275724539
4749,17.4813178
4766,15.71583394
4767,7.867478094
4770,21.16791405
4778,46.17963515
4807,42.71640277
4827,82.34391536
4852,66.1766866
4860,54.5163596
4880,75.27558414
4889,37.38077451
4894,6.64593131
4898,29.69169112
4910,3.667603634
4918,5.366679179
4934,68.37300869
4938,154.1120703
4962,66.71646725
4969,38.94129455
5011,15.07896821
5024,9.1824721
5031,48.22214627
5032,4.772804834
5037,38.66993837
5039,5.368962452
5050,13.01433679
5076,15.15839409
5080,34.50139523
5094,163.3307513
5096,45.99742705
5108,114.197783
5109,72.07112652
5128,7.806257263
5137,26.02723541
5142,6.764556733
5157,12.33607455
5163,265.7077169
