ID,HL
3667,34.53498515
3678,105.4938882
3721,36.34520812
3725,5.656249014
3748,13.14090607
3791,10.56421928
3807,8.64984485
3816,112.538087
3817,13.1724281
3827,156.1050026
3847,5.018393753
3855,17.24255896
3867,37.53134898
3874,7.828938364
3913,55.81873073
3918,6.878063118
3924,36.56140268
3940,3.723040661
3953,7.998806567
3955,75.45463872
3975,4.3595849
3985,9.774776358
4012,31.7694645
4059,34.83659109
4070,8.524843903
4071,122.5430771
4080,81.9632762
4115,29.76836404
4116,6.069614576
4129,40.54706035
4137,6.21411405
4148,25.83312867
4151,154.1715933
4152,72.93980778
4175,31.29640325
4186,87.83160115
4215,17.59639058
4227,65.28622134
4293,35.01921564
4297,121.3724528
4313,38.06058244
4338,38.2253008
4353,77.09096372
4395,8.265740769
4403,53.90411892
4408,50.21269645
4417,70.77535392
4422,3.871882053
4433,14.58415869
4444,6.679461635
4456,66.75865296
4459,87.30160164
4485,30.72969513
4492,81.4290787
4501,20.26586399
4518,49.60395777
4534,16.65718315
4538,134.1423599
4547,25.41575391
4585,110.4912994
4598,19.04650423
4628,52.31214229
4643,39.40548407
4648,12.44815382
4666,19.81404692
4685,43.99091886
4743,3.970646927
4749,18.63538307
4766,14.88695805
4767,7.936336079
4770,20.67476978
4778,47.72291422
4807,41.6951447
4827,84.46666074
4852,57.38423957
4860,55.58968612
4880,87.72114499
4889,31.6293196
4894,6.562343764
4898,41.8289698
4910,4.271756063
4918,5.953518007
4934,66.43683841
4938,125.4838062
4962,53.85716322
4969,34.16426866
5011,15.26993077
5024,8.875173664
5031,46.19468194
5032,5.439048524
5037,34.94309412
5039,5.94284114
5050,11.54685521
5076,14.03117999
5080,33.4494287
5096,43.28316232
5108,102.1359385
5109,62.38022289
5128,8.844986666
5137,28.51122371
5142,7.921791945
5157,12.56222281
5189,16.72863489
5195,95.10791348
5203,57.13438049
5257,14.02734684
5258,9.792812426
5285,8.423924821
5287,29.63107997
5297,13.83581601
5312,4.075814113
5317,35.03399333
5325,53.15415876
5353,50.08611752
5387,19.77747905
5412,22.29305927
5422,10.66351149
5445,20.92962708
5478,5.833086478
5501,32.01478896
5519,22.12045705
5526,17.23043159
5536,11.6490347
5545,37.84338411
5566,45.05530902
5584,27.50354478
5598,6.523063905
5599,35.80909298
5613,64.33245961
5622,42.96419333
5624,40.60497917
5641,5.826234542
5646,6.500343935
5657,86.50582759
5668,27.14437637
5715,35.71136475
5716,60.61231956
5724,10.48053878
5731,21.7199937
5760,5.552576866
5779,107.9439131
5787,4.926978023
5800,87.95938645
5804,23.24339819
5820,101.1311748
5836,13.36504724
5850,10.70420772
5893,14.39005545
5895,15.70664619
5902,13.78264556
5916,84.70272554
5941,20.99037895
5955,31.88415447
5966,73.86797618
5968,16.16382806
5971,69.96498209
5972,62.79964735
6020,12.47634178
6022,35.80852433
6023,5.106200936
6058,22.38248818
6076,127.0703628
6077,85.80543883
6093,23.84031326
6120,82.46559576
6123,75.8595333
6125,46.58701834
6146,10.58486269
6154,6.632053917
6163,47.58797529
6164,10.64899616
6173,37.62603631
6181,50.41647992
6182,40.071798
6205,7.821947885
6206,17.14754542
6225,19.33532978
6226,11.6266834
6234,53.37057922
6241,13.90780334
6263,117.4462022
6266,9.794715362
6280,28.98289421
6318,55.24525441
6331,89.57302827
6334,25.69082773
6366,70.49698759
6371,13.91823959
6377,26.47899949
6380,7.870940555
6383,34.06575731
6391,23.49255882
6419,92.59327938
6434,26.69049164
6459,15.40031499
6466,16.75185715
6472,6.475782256
6504,36.15059441
6511,19.38657793
6524,33.93349867
6579,87.93291543
6585,14.7530864
6593,10.6402119
6594,55.978648
6595,13.33774089
6606,4.986446059
6631,17.49099285
6635,53.40337698
6659,32.70004368
6688,107.9605813
6700,7.892172344
6727,9.753408159
6734,49.59056511
6764,28.0498052
6774,131.4916324
6777,27.24418205
6781,3.925396665
6792,44.41167819
6798,117.9056617
6800,34.26475807
6811,157.4377172
6813,55.64176368
6821,19.73739683
6836,11.81157488
6857,68.27625667
6869,6.984887423
6871,140.167741
6873,10.99994132
6891,5.999764859
6894,17.57541105
6898,9.191376425
6925,24.64361379
6935,49.1592202
6936,36.70784623
6939,57.67330552
6941,6.053316767
6945,95.22656786
6950,32.22606138
6958,43.53368187
6964,64.60487222
6971,12.96442866
7057,64.60529863
7064,4.823218945
7073,5.348737175
7080,12.54980617
7105,21.40309388
7106,159.7275404
7126,75.33629395
7136,8.16903708
7158,13.9138274
7197,20.5679112
7208,4.08466043
7239,8.052618798
7240,27.74172197
7249,9.589654387
7270,47.57259678
7274,28.70340708
7294,103.4810955
7333,21.44760387
7340,10.63687077
7353,18.32797739
7368,26.35700277
7382,16.84871386
7383,3.463420547
7386,6.691494395
7401,15.85974014
7414,27.11808389
7445,20.16375765
7458,27.94683057
7459,58.08041349
7481,23.05161624
7484,9.110085141
7513,19.6355832
7518,4.134708314
7536,20.9187202
7547,56.33318483
7557,50.44885391
7562,95.74396153
7570,58.46569047
7603,25.43171969
