ID,half_life
918,250.0867939
919,NA
920,NA
921,19.78222434
923,NA
924,NA
925,NA
927,23.11944652
930,86.86977299
931,112.6242381
932,182.0608497
933,NA
934,34.85703986
935,74.35310952
936,164.8179373
937,260.2821568
938,NA
939,27.93280928
940,56.80818746
941,74.11545927
942,76.38059506
943,139.5814094
945,9.184339014
946,25.5551847
947,37.18741494
948,NA
949,NA
952,NA
953,NA
954,NA
955,336.1398562
956,148.1175348
957,NA
958,17.55350882
960,20.77565664
961,46.32697223
962,83.20291204
966,47.59286673
967,117.0396666
968,NA
969,NA
970,154.7565256
972,14.97942417
974,136.2457107
975,91.83484905
976,17.0721733
977,207.0394335
979,107.4524591
981,37.30076811
982,68.26047695
983,48.9282617
987,NA
988,37.90886555
989,NA
990,13.50408598
993,150.5997534
994,5.674398537
995,NA
996,151.8006569
998,NA
999,NA
1000,5.68254589
1001,207.4548738
1002,4.469361089
1003,92.4998511
1005,NA
1006,NA
1007,48.17899038
1008,NA
1011,198.3919425
1012,NA
1014,82.57713552
1015,249.7718073
1016,40.1795043
1017,NA
1019,NA
1020,12.15390324
1021,253.5503721
1022,200.5649093
1023,38.59562221
1024,26.48225653
1025,NA
1026,229.9393984
1027,NA
1028,9.587798135
1029,44.6788775
1030,NA
1032,NA
1033,241.0438102
1034,NA
1035,20.33130572
1039,10.61282794
1040,NA
1041,NA
1042,146.2947661
1043,NA
1044,73.70389158
1045,56.45535517
1046,37.37154712
1047,NA
1048,46.5737991
1049,86.83200895
1050,NA
1051,66.56442414
1052,226.6519184
1053,13.02141457
1054,76.79339675
1055,NA
1056,5.721211179
1057,NA
1058,NA
1059,5.605361359
1060,NA
1061,NA
1062,NA
1063,145.8774659
1065,NA
1066,NA
1067,88.61716997
1068,NA
1069,57.97108319
1070,16.55052048
1071,238.0201003
1072,8.755173945
1073,24.53597848
1074,NA
1075,62.17559022
1077,5.889555944
1080,NA
1082,NA
1084,NA
1086,156.5349615
1087,154.8831366
1088,173.783702
1089,NA
1090,NA
1091,NA
1092,5.791894648
1093,288.3586873
1094,NA
1095,40.00578505
1096,61.4730049
1097,5.042442594
1099,14.86955332
1100,NA
1101,NA
1102,104.4041234
1103,NA
1104,NA
1105,203.7196726
1106,143.0597219
1108,NA
1109,16.14330287
1110,NA
1111,17.30222747
1112,4.108158513
1113,18.95315276
1114,70.07190622
1115,209.5557249
1117,194.0487686
1118,49.15564952
1119,201.1500411
1120,NA
1121,147.4603235
1122,NA
1123,235.8386316
1125,247.8648969
1126,176.9975393
1127,81.21768389
1128,7.237492323
1129,45.73011602
1131,NA
1132,90.8286258
1133,150.7724976
1134,30.0881192
1135,125.6716028
1136,154.7176717
1137,329.3202485
1138,37.3922776
1139,NA
1140,NA
1141,NA
1142,22.40608009
1143,NA
1144,NA
1145,NA
1146,209.8696797
1148,8.262493985
1151,21.32107877
1152,69.29688483
1153,138.1695643
1154,244.2812071
1155,60.42025236
1156,NA
1157,5.978956647
1158,NA
1159,105.7789799
1160,106.8374072
1161,106.3438147
1162,NA
1163,NA
1164,42.9738772
1165,3.298940934
1166,151.4896525
1167,NA
1168,329.3354639
1169,62.39384731
1170,53.94710394
1171,NA
1172,31.6484922
1173,131.3540378
1174,14.26872698
1176,NA
1177,NA
1178,NA
1179,40.16956825
1180,NA
1181,NA
1182,NA
1183,NA
1184,NA
1185,62.41257746
1186,207.0850209
1187,NA
1188,NA
1189,93.88429876
1190,167.6122982
1191,71.03252727
1192,13.75519156
1193,34.53344407
1194,114.0955964
1195,241.1630336
1196,74.01805081
1197,2.192844669
1198,167.3654558
1199,NA
1200,30.95578188
1201,18.16762092
1202,58.82640593
1204,NA
1205,23.53772345
1206,NA
1207,NA
1208,18.35109039
1209,74.82017711
1210,233.7788108
1211,101.7585097
1212,NA
1213,54.66150586
1214,211.3509359
1215,NA
1216,11.60267697
1217,16.63675564
1218,NA
1219,8.651242613
1221,361.4690173
1222,78.3477593
1223,235.4951699
1224,NA
1225,136.0377591
1226,13.89460852
1227,83.6722314
1228,NA
1229,302.3803328
1230,63.74875075
1231,NA
1234,NA
1235,NA
1236,287.1235491
1238,NA
1239,111.8373238
1240,2.84023168
1241,242.3308386
1242,73.54572619
1243,6.757826643
1245,108.1188649
1246,NA
1247,NA
1248,174.6920741
1250,NA
1251,132.9760688
1252,209.6319655
1253,NA
1254,NA
1255,66.56874806
1256,15.68729082
1258,197.447003
1259,50.36646658
1260,93.72774366
1261,88.8266858
1262,35.26217638
1263,174.2764018
1264,NA
1265,71.2007072
1266,153.1554288
1267,NA
1268,20.18429114
1269,NA
1270,NA
1271,NA
1272,NA
1273,81.17085403
1274,102.4134224
1276,11.69248308
1278,NA
1279,NA
1280,4.518340696
1283,9.964819493
1285,NA
1288,41.40585173
1289,213.065004
1290,41.15621095
1291,100.3565428
1292,153.6706848
1295,NA
1296,NA
1297,96.87619116
1299,190.8018377
1300,284.4892322
1301,33.47816586
1302,10.90511197
1303,16.78826537
1305,18.90976998
1306,7.657883523
1307,148.7140261
1308,264.3598797
1309,55.18552011
1310,9.198201177
1311,94.31109219
1312,NA
1313,13.42558503
1314,NA
1315,5.56696536
1317,NA
1318,28.72422474
1319,26.43284023
1320,NA
1321,19.38740036
1322,NA
1323,NA
1324,86.61377899
1325,321.1079116
1326,13.45695248
1328,50.07559711
1329,NA
1330,22.96940143
1331,NA
1332,229.8768504
1333,NA
1334,NA
1335,226.8082815
1336,65.91672899
1337,226.4833361
1338,35.59846075
1340,50.64861505
1342,161.5534907
1343,246.4764194
1344,NA
1347,NA
1348,111.1706984
1349,NA
1350,249.7443961
1351,4.18389185
1352,17.2327259
1353,NA
1354,87.60955889
1356,342.4225434
1357,48.91487619
1358,34.5101045
1359,NA
1360,32.34721249
1361,21.73645689
1362,173.4788152
1363,75.58800698
1364,NA
1365,47.18889964
1368,298.8236905
1369,242.2604433
1370,NA
1371,6.650036197
1372,140.5732411
1373,122.5751437
1374,NA
1375,NA
1376,9.663951937
1377,12.76544363
1378,9.587107483
1379,8.28973528
1380,NA
1381,NA
1382,NA
1383,NA
1384,124.3241972
1385,NA
1387,40.19111096
1388,14.21598119
1389,NA
1390,96.87823621
1391,NA
1392,89.73238099
1394,40.97399132
1395,162.834725
1396,193.8235859
1397,NA
1398,83.70912046
1399,NA
1400,66.36875695
